"","maxgroup","value.IV","mean","sd","p"
"otu.1049","2",28.9,"34","10.07",0.6347
"otu.1051","2",37.2,"20.2","8.93",0.0614
"otu.1053","2",66,"24.8","10.02",0.0014
"otu.1054","1",42.1,"36.5","8.5",0.2156
"otu.1055","2",9.3,"13.3","6.53",0.5865
"otu.1056","2",36.5,"34","6.85",0.3005
"otu.1058","2",52.1,"33.7","8",0.029
"otu.1059","1",7.9,"15.6","7.49",0.864
"otu.1061","3",7.7,"9.4","1.47",1
"otu.1062","3",12.2,"24.6","9.73",0.9604
"otu.1066","3",27.5,"21.8","8.54",0.2104
"otu.1067","1",18.5,"19.6","8.25",0.5905
"otu.1068","2",14.3,"18","8.42",0.5765
"otu.1070","1",24,"37.9","11.14",0.9548
"otu.1071","3",22.8,"15.6","7.75",0.189
"otu.1072","2",14.6,"22","8.9",0.7592
"otu.1074","2",24.7,"17.7","8.07",0.1662
"otu.1075","1",25.6,"16","8.01",0.139
"otu.1076","2",37.2,"37.7","6.33",0.4637
"otu.1077","1",60.4,"32","7.7",0.0034
"otu.1079","2",46.3,"33.3","9.33",0.1006
"otu.1081","2",25.6,"22.7","8.61",0.3085
"otu.1082","3",37.5,"33.3","7.07",0.2362
"otu.1084","2",21.7,"21.4","9",0.3847
"otu.1085","3",30.8,"15.3","7.4",0.0394
"otu.1086","1",13.4,"17.9","8.22",0.6465
"otu.1087","2",18.6,"18.3","7.68",0.3829
"otu.1088","1",27,"17.8","8.3",0.1448
"otu.1090","2",53.6,"20.4","7.66",0.0028
"otu.1091","3",22,"14.1","7.13",0.1382
"otu.1092","2",34,"19.6","8.02",0.058
"otu.1093","2",43.4,"38.7","6.92",0.2262
"otu.1101","1",26.9,"28.7","9.89",0.4949
"otu.1105","3",19.5,"13.7","6.84",0.158
"otu.1111","2",27.2,"34.4","9.25",0.7684
"otu.1113","1",19.5,"25","9.09",0.6737
"otu.1116","3",7.7,"9.4","1.46",1
"otu.1118","1",6.4,"10.2","5.89",0.7548
"otu.1119","2",36.3,"19.1","8.11",0.0352
"otu.1123","2",64.1,"34.3","8.39",0.0042
"otu.1124","3",32.6,"24","9.12",0.1616
"otu.1125","3",15.4,"11.9","4.91",0.3239
"otu.1126","2",9,"10.5","5.57",0.4227
"otu.1127","1",41.6,"34.2","7.83",0.1676
"otu.1129","2",16.6,"14.8","7.46",0.3209
"otu.1130","3",15.4,"10.4","5.73",0.3223
"otu.1131","2",29,"26.1","10.12",0.3349
"otu.1132","2",17.9,"20.3","9.01",0.5399
"otu.1134","3",7.7,"9.4","1.47",1
"otu.1135","1",50.7,"35.1","9.24",0.0716
"otu.1136","2",11.1,"9.4","1.46",0.2783
"otu.1137","1",19.1,"13.5","6.41",0.2673
"otu.1138","3",22.5,"23.6","9.15",0.4651
"otu.1139","3",7.7,"9.4","1.46",1
"otu.1141","2",36.9,"24.9","9.82",0.1174
"otu.1144","1",13.1,"16.4","7.22",0.5709
"otu.1145","2",10.4,"22.8","9.1",0.8946
"otu.1146","2",16.1,"12.3","6.66",0.2583
"otu.1148","3",13.5,"18.2","8.53",0.6337
"otu.1149","3",14.7,"13.2","6.75",0.4441
"otu.1150","1",37.4,"25.9","9.69",0.1174
"otu.1151","2",33.2,"15.1","7.7",0.024
"otu.1152","3",30.8,"13.6","6.87",0.0404
"otu.1153","3",15.4,"9.9","5.97",0.3201
"otu.1154","2",31.2,"17","7.65",0.0638
"otu.1156","2",72.3,"25.6","9.83",4e-04
"otu.1157","2",21.4,"18.7","8.24",0.2951
"otu.1161","1",42.4,"32.2","11.47",0.185
"otu.1162","2",11.1,"9.4","1.46",0.2803
"otu.1163","1",29.7,"20.7","8.48",0.1916
"otu.1164","2",10.1,"16.7","7.56",0.7467
"otu.1165","3",14.1,"21.7","8.62",0.8258
"otu.1166","2",34.4,"41.6","7.78",0.8054
"otu.1167","3",23.2,"25.4","9.99",0.5827
"otu.1169","2",21.8,"19.1","7.4",0.2913
"otu.1170","2",18.6,"21.7","8.72",0.5631
"otu.1173","3",44.4,"30.3","7.4",0.0502
"otu.1174","2",10.9,"18","7.46",0.7313
"otu.1175","2",24.1,"17.1","7.72",0.1612
"otu.1176","1",33.9,"27.1","10.19",0.2454
"otu.1177","3",5.4,"10.7","5.59",0.877
"otu.1178","3",38,"18.1","8.23",0.0272
"otu.1179","2",36.2,"36","6.68",0.4187
"otu.1180","2",10.9,"14.9","6.14",0.6671
"otu.1183","3",20.3,"29.6","8.43",0.8972
"otu.1188","3",15.4,"10","5.92",0.3223
"otu.1189","3",17.9,"21.6","9.17",0.5769
"otu.1191","3",5.8,"13.6","6.55",0.9348
"otu.1192","3",7.7,"9.4","1.47",1
"otu.1194","3",30.4,"32.8","7.57",0.5563
"otu.1196","2",24.5,"26.6","8.89",0.5175
"otu.1197","3",33.2,"34","6.81",0.4803
"otu.1198","3",6.7,"11.6","4.85",1
"otu.1199","3",16.4,"18.1","8.2",0.4525
"otu.1200","2",26.6,"29.4","7.42",0.5811
"otu.1203","3",35.5,"37.9","5.72",0.6073
"otu.1205","1",16.6,"24.6","8.93",0.8292
"otu.1206","2",19.5,"13.8","6.54",0.2579
"otu.1207","2",41.9,"31","11.26",0.16
"otu.1208","2",23.4,"24.4","8.79",0.4533
"otu.1211","2",11.4,"17.1","8.1",0.7209
"otu.1215","1",56,"25.9","9.92",0.0126
"otu.1218","2",37.7,"23.8","9.6",0.0844
"otu.1219","2",18,"23.6","8.27",0.7195
"otu.1220","3",13,"15.9","7.56",0.6337
"otu.1222","1",9.4,"14.5","7.47",0.6775
"otu.1223","1",10,"9.4","1.46",0.5915
"otu.1226","3",46.2,"17","7.73",0.007
"otu.1229","3",15.4,"9.9","5.94",0.3223
"otu.1230","2",10.3,"11.6","4.93",0.4387
"otu.1232","3",7.7,"9.4","1.46",1
"otu.1234","3",15.4,"12.1","4.62",0.3119
"otu.1235","3",18,"24.4","8.14",0.778
"otu.1239","2",40.8,"26.5","8.87",0.0726
"otu.1240","2",50.6,"28.6","8.46",0.0194
"otu.1241","1",27.5,"33.1","8.56",0.7141
